"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"3138",3138,18,"gap",22,"a","!","{No}",1,2783,"Non-Native",89,-0.5,0.5,2783
"3152",3152,18,"gap",17,"b","!","{No}",1,2537,"Non-Native",89,-0.5,-0.5,2537
"3166",3166,18,"gap",18,"a","!","{No}",1,1696,"Non-Native",89,-0.5,0.5,1696
"3211",3211,18,"gap",24,"a","!","{No}",1,1676,"Non-Native",89,-0.5,0.5,1676
"3221",3221,18,"gap",20,"a","!","{No}",1,1828,"Non-Native",89,-0.5,0.5,1828
"3228",3228,18,"gap",19,"b","!","{No}",1,2088,"Non-Native",89,-0.5,-0.5,2088
"3232",3232,18,"gap",21,"b","!","{Yes}",0,2406,"Non-Native",89,-0.5,-0.5,2406
"3235",3235,18,"gap",16,"a","!","{No}",1,2232,"Non-Native",89,-0.5,0.5,2232
"3278",3278,19,"gap",23,"a","!","{Yes}",0,4087,"Non-Native",53,0.5,0.5,4087
"3307",3307,19,"gap",18,"b","!","{Yes}",0,3456,"Non-Native",53,0.5,-0.5,3456
"3310",3310,19,"gap",24,"b","!","{No}",1,4330,"Non-Native",53,0.5,-0.5,4330
"3323",3323,19,"gap",22,"b","!","{Yes}",0,2414,"Non-Native",53,0.5,-0.5,2414
"3326",3326,19,"gap",16,"b","!","{No}",1,4956,"Non-Native",53,0.5,-0.5,4956
"3346",3346,19,"gap",13,"a","!","{Yes}",0,4135,"Non-Native",53,0.5,0.5,4135
"3362",3362,19,"gap",19,"a","!","{Yes}",0,2595,"Non-Native",53,0.5,0.5,2595
"3384",3384,19,"gap",14,"b","!","{Yes}",0,2706,"Non-Native",53,0.5,-0.5,2706
"3392",3392,19,"gap",15,"a","!","{Yes}",0,2986,"Non-Native",53,0.5,0.5,2986
"3395",3395,19,"gap",17,"a","!","{Yes}",0,2408,"Non-Native",53,0.5,0.5,2408
"3408",3408,19,"gap",21,"a","!","{Yes}",0,2951,"Non-Native",53,0.5,0.5,2951
"3419",3419,19,"gap",20,"b","!","{Yes}",0,2832,"Non-Native",53,0.5,-0.5,2832
"3438",3438,20,"gap",15,"b","!","{Yes}",0,4019,"Non-Native",81,-0.5,-0.5,4019
"3452",3452,20,"gap",17,"b","!","{No}",1,1545,"Non-Native",81,-0.5,-0.5,1545
"3469",3469,20,"gap",21,"b","!","{Yes}",0,1718,"Non-Native",81,-0.5,-0.5,1718
"3476",3476,20,"gap",23,"b","!","{No}",1,3328,"Non-Native",81,-0.5,-0.5,3328
"3493",3493,20,"gap",22,"a","!","{No}",1,4741,"Non-Native",81,-0.5,0.5,4741
"3513",3513,20,"gap",18,"a","!","{No}",1,5082,"Non-Native",81,-0.5,0.5,5082
"3525",3525,20,"gap",19,"b","!","{No}",1,2742,"Non-Native",81,-0.5,-0.5,2742
"3532",3532,20,"gap",16,"a","!","{No}",1,2108,"Non-Native",81,-0.5,0.5,2108
"3535",3535,20,"gap",24,"a","!","{No}",1,2509,"Non-Native",81,-0.5,0.5,2509
"3544",3544,20,"gap",14,"a","!","{Yes}",0,2217,"Non-Native",81,-0.5,0.5,2217
"3587",3587,20,"gap",13,"b","!","{Yes}",0,8027,"Non-Native",81,-0.5,-0.5,8027
"3590",3590,20,"gap",20,"a","!","{No}",1,1896,"Non-Native",81,-0.5,0.5,1896
"3619",3619,21,"gap",24,"b","!","{No}",1,2093,"Non-Native",86,-0.5,-0.5,2093
"3628",3628,21,"gap",17,"a","!","{No}",1,1291,"Non-Native",86,-0.5,0.5,1291
"3640",3640,21,"gap",23,"a","!","{No}",1,1806,"Non-Native",86,-0.5,0.5,1806
"3651",3651,21,"gap",13,"a","!","{No}",1,3123,"Non-Native",86,-0.5,0.5,3123
"3675",3675,21,"gap",18,"b","!","{No}",1,2730,"Non-Native",86,-0.5,-0.5,2730
"3690",3690,21,"gap",20,"b","!","{No}",1,1563,"Non-Native",86,-0.5,-0.5,1563
"3694",3694,21,"gap",21,"a","!","{No}",1,2405,"Non-Native",86,-0.5,0.5,2405
"3705",3705,21,"gap",19,"a","!","{No}",1,1689,"Non-Native",86,-0.5,0.5,1689
"3709",3709,21,"gap",14,"b","!","{No}",1,5891,"Non-Native",86,-0.5,-0.5,5891
"3717",3717,21,"gap",16,"b","!","{No}",1,2131,"Non-Native",86,-0.5,-0.5,2131
"3743",3743,21,"gap",15,"a","!","{No}",1,4599,"Non-Native",86,-0.5,0.5,4599
"3772",3772,21,"gap",22,"b","!","{No}",1,1740,"Non-Native",86,-0.5,-0.5,1740
"3805",3805,22,"gap",19,"b","!","{Yes}",0,1256,"Non-Native",53,0.5,-0.5,1256
"3811",3811,22,"gap",24,"a","!","{Yes}",0,1794,"Non-Native",53,0.5,0.5,1794
"3818",3818,22,"gap",13,"b","!","{Yes}",0,1384,"Non-Native",53,0.5,-0.5,1384
"3865",3865,22,"gap",15,"b","!","{Yes}",0,1622,"Non-Native",53,0.5,-0.5,1622
"3868",3868,22,"gap",22,"a","!","{Yes}",0,1568,"Non-Native",53,0.5,0.5,1568
"3885",3885,22,"gap",14,"a","!","{Yes}",0,1276,"Non-Native",53,0.5,0.5,1276
"3896",3896,22,"gap",17,"b","!","{No}",1,1688,"Non-Native",53,0.5,-0.5,1688
"3913",3913,22,"gap",23,"b","!","{Yes}",0,1188,"Non-Native",53,0.5,-0.5,1188
"3920",3920,22,"gap",16,"a","!","{No}",1,2263,"Non-Native",53,0.5,0.5,2263
"3924",3924,22,"gap",20,"a","!","{Yes}",0,1309,"Non-Native",53,0.5,0.5,1309
"3930",3930,22,"gap",21,"b","!","{Yes}",0,1780,"Non-Native",53,0.5,-0.5,1780
"3955",3955,22,"gap",18,"a","!","{Yes}",0,1214,"Non-Native",53,0.5,0.5,1214
"3987",3987,23,"gap",13,"a","!","{Yes}",0,2468,"Non-Native",79,-0.5,0.5,2468
"3995",3995,23,"gap",17,"a","!","{Yes}",0,2112,"Non-Native",79,-0.5,0.5,2112
"4006",4006,23,"gap",18,"b","!","{Yes}",0,2493,"Non-Native",79,-0.5,-0.5,2493
"4009",4009,23,"gap",23,"a","!","{Yes}",0,2212,"Non-Native",79,-0.5,0.5,2212
"4017",4017,23,"gap",22,"b","!","{Yes}",0,1764,"Non-Native",79,-0.5,-0.5,1764
